component_type,aliases,product_categories,typical_failure_risk,repair_importance,preferred_design,preferred_fastening,preferred_sourcing,expected_service_life_years_min,expected_service_life_years_max,repairability_notes,suggested_alternative
zipper,zip; zipper assembly,clothing/accessories,high,high,standard stitched zipper,stitched,standard,2,8,A broken zipper can make a garment or bag unusable even when the rest is intact.,Use a standard stitched zipper that can be replaced by a repair shop.
buckle,clip buckle; metal buckle; plastic buckle,clothing/accessories,medium,medium,replaceable standard buckle,stitched,standard,3,10,"Buckles are common failure points on bags, belts, and straps.",Use a standard buckle size attached with repairable stitching or screws.
button,buttons; press stud; snap button,clothing/accessories; electronics; small appliances,medium,medium,replaceable standard button,stitched,standard,1,8,Buttons are small parts but can affect whether a product remains usable.,Use standard replaceable buttons or switches that can be accessed without damaging the product.
sole,shoe sole; outsole; midsole,clothing/accessories,high,high,stitched or replaceable sole,stitched,standard,1,5,Shoes are often discarded when soles wear out.,Use stitched or replaceable soles rather than permanently glued-only construction.
strap,bag strap; watch strap; shoulder strap,clothing/accessories,medium,high,replaceable strap with standard attachment,stitched,standard,2,8,"A failed strap can make a bag, watch, or accessory unusable.",Use removable or stitched strap attachments that can be replaced.
stitching,seam; thread; sewn seam,clothing/accessories,medium,high,reinforced visible stitching,stitched,standard,2,10,Repairable stitching can extend garment and accessory life.,Use reinforced stitching and avoid hidden bonding where repair access matters.
clasp,clip; latch; fastener clasp,clothing/accessories,medium,medium,replaceable standard clasp,screwed,standard,2,8,Clasps are often small but critical usability components.,Use a standard clasp that can be replaced without damaging the product.
battery,lithium-ion battery; battery pack; rechargeable cell,electronics; small appliances,high,high,replaceable battery module,screwed,standard,2,5,Battery degradation is a major reason electronics are replaced.,Use a screwed or clipped battery module with safe access and standard dimensions.
screen,display; LCD; OLED; touchscreen,electronics; small appliances,high,high,modular replaceable display assembly,screwed,standard,3,8,Cracked or failed screens often drive premature replacement.,Use a modular screen assembly that can be replaced without replacing the full device.
PCB,printed circuit board; circuit board; control board,electronics; small appliances,medium,high,modular connector-based board,screwed,standard,4,10,"Board-level repair is difficult if assemblies are sealed, potted, or proprietary.",Use connector-based modular boards with accessible fasteners.
charging port,USB-C port; power port; connector port,electronics; small appliances,high,high,standard replaceable port module,screwed,standard,2,6,Ports wear out and should not require full board replacement if avoidable.,Use a standard port on a replaceable daughterboard or accessible module.
plastic enclosure,plastic casing; plastic housing; ABS enclosure,electronics; small appliances,medium,high,screwed or clipped serviceable enclosure,screwed,standard,3,10,The enclosure determines whether internal repair access is possible.,"Use screws, clips, or visible service access instead of glued or sealed housings."
aluminium casing,aluminum casing; metal enclosure; aluminium shell,electronics; small appliances,low,high,mechanically fastened metal casing,screwed,standard,8,20,Durable casing can support long product life if it allows service access.,Avoid permanent bonding; use accessible screws or clips.
speaker,driver; audio speaker; speaker module,electronics,medium,medium,replaceable speaker module,screwed,standard,3,8,"Speakers can fail from wear, moisture, or impact.",Use a replaceable speaker module with standard connectors.
cable,wire; wiring harness; flex cable; power cable,electronics; small appliances,medium,medium,replaceable cable or connectorised harness,clipped,standard,2,8,Cables and connectors are common failure points.,Use connectorised cables rather than permanently soldered or glued cable assemblies.
sensor,sensor module; temperature sensor; motion sensor,electronics; small appliances,medium,medium,replaceable sensor module,screwed,standard,3,10,Sensors should be replaceable when they control core product function.,Use a standard replaceable sensor module with accessible connectors.
motor,electric motor; drive motor; appliance motor,small appliances,medium,high,standard replaceable motor,screwed,standard,5,12,Motor failure can make the whole appliance unusable.,Use a standard motor size with accessible fasteners and documented replacement path.
heating element,heater; coil; heating coil,small appliances,medium,high,replaceable heating element,screwed,standard,3,8,"Heating elements are common failure points in kettles, toasters, dryers, and heaters.",Use a replaceable heating module with safe service access.
blade,cutting blade; blender blade; fan blade,small appliances,medium,medium,replaceable blade assembly,screwed,standard,2,8,"Blades dull, crack, or wear before the whole appliance fails.",Use a replaceable blade assembly with standard fasteners.
pump,water pump; fluid pump; air pump,small appliances,medium,high,replaceable pump module,screwed,standard,3,8,"Pump failure can make coffee machines, cleaners, and dispensers unusable.",Use a standard replaceable pump module with accessible hose connections.
filter,air filter; water filter; dust filter,small appliances,high,medium,user-replaceable consumable filter,clipped,standard,0,1,Filters are expected consumables and should be easily replaceable by users.,"Use standard, user-replaceable filters with clear access."
switch,power switch; control switch; push switch,electronics; small appliances,medium,medium,replaceable standard switch,clipped,standard,3,10,Switch failure can disable an otherwise working product.,Use a standard switch module accessible from a serviceable enclosure.
power cord,mains cable; appliance cable; AC cord,small appliances; electronics,medium,high,replaceable standard power cord,screwed,standard,3,10,Damaged power cords are common and should not require replacing the whole product.,Use a replaceable cord or accessible strain relief and connector design.
fan,fan assembly; impeller; blower,small appliances; electronics,medium,medium,replaceable fan module,screwed,standard,3,10,Fan failure can reduce performance or make products unusable.,Use a standard replaceable fan module with accessible fasteners.
casing,housing; shell; enclosure,small appliances; electronics,medium,high,serviceable casing with removable fasteners,screwed,standard,4,12,The casing determines whether the product can be opened for repair.,Use screws or clips and avoid sealed or glued-only casing designs.
screw,fastener; machine screw; self-tapping screw,clothing/accessories; electronics; small appliances,low,high,standard screw fastener,screwed,standard,5,20,"Standard screws improve disassembly, maintenance, and repair access.","Prefer standard screws over glue, rivets, or permanent bonding."
gasket,seal; rubber gasket; silicone gasket,small appliances; electronics,high,medium,replaceable gasket,clipped,standard,1,5,Worn gaskets can cause leaks or performance loss.,Use a standard replaceable gasket instead of bonding it permanently.
