material_name,aliases,product_categories,material_category,recycling_potential,estimated_life_years_min,estimated_life_years_max,durability_score,repair_notes,end_of_life_notes,preferred_use,risk_notes
cotton,organic cotton; recycled cotton; cotton fabric,clothing/accessories,natural textile,medium,2,5,6,"Repairable through sewing, patching, and restitching.","Biodegradable in some conditions, but recycling depends on fabric blends and contamination.","Garments, linings, straps, soft accessories",Lower durability if thin or blended with unknown fibres.
polyester,PET textile; recycled polyester; polyester fabric,clothing/accessories,synthetic textile,medium,3,7,7,"Can be sewn and patched, but heat damage and fraying may reduce repair quality.","Technically recyclable in some systems, but often downcycled or landfilled.","Outerwear, bags, straps, linings",Can shed microfibres and is less biodegradable.
nylon,polyamide; nylon fabric; recycled nylon,clothing/accessories,synthetic textile,medium,4,8,8,"Durable and repairable through stitching, patching, and component replacement.",Recyclability depends on local textile recycling infrastructure.,"Bags, straps, outdoor accessories, technical garments",Harder to recycle when blended or coated.
leather,genuine leather; full-grain leather; leather trim,clothing/accessories,animal-based material,low,5,15,8,"Highly repairable through stitching, conditioning, patching, and hardware replacement.","Difficult to recycle due to tanning, coatings, and mixed construction.","Bags, shoes, belts, premium accessories",High environmental burden if overused; repairability depends on construction quality.
rubber,natural rubber; synthetic rubber; elastomer,clothing/accessories; small appliances,elastomer,low,2,8,6,Repairability varies; soles and gaskets can be replaced if mechanically attached.,Often difficult to recycle in consumer products due to additives and bonding.,"Soles, gaskets, grips, seals, feet",Bonded rubber parts often make repair difficult.
lithium-ion battery,li-ion battery; lithium battery; rechargeable battery,electronics; small appliances,battery,medium,2,5,5,Should be designed as a replaceable module with safe access.,Requires specialist recycling and safe handling.,Rechargeable electronics and cordless appliances,"Major replacement driver when glued, sealed, or proprietary."
glass,display glass; tempered glass; cover glass,electronics; small appliances,glass,medium,3,10,6,Replaceable if the display/screen assembly is modular and not glued.,"Recycling depends on coatings, adhesives, and mixed display layers.","Screens, display covers, appliance doors",High waste risk if fused to expensive assemblies.
PCB,printed circuit board; circuit board; electronics board,electronics; small appliances,mixed electronics,low,4,10,6,"Repairability improves if boards are modular, documented, and connector-based.","Specialist e-waste recycling required due to mixed metals, resins, and components.",Electronic control assemblies,"Hard to repair if fully potted, undocumented, or proprietary."
ABS plastic,ABS; acrylonitrile butadiene styrene,electronics; small appliances,plastic,medium,3,8,6,Repairable when enclosures are screwed or clipped rather than glued.,Recyclable in some systems if clearly identified and not mixed.,"Casings, housings, buttons, appliance shells","Lower circularity when painted, coated, glued, or mixed with unknown plastics."
polycarbonate,PC plastic; polycarbonate plastic,electronics; small appliances,plastic,medium,4,10,7,Durable housing material when mechanical fasteners support access.,"Recyclability depends on identification, additives, and local infrastructure.","Durable casings, transparent covers, impact-resistant parts",Can be difficult to recycle if blended or coated.
aluminium,aluminum; aluminium casing; aluminum casing,electronics; small appliances,metal,high,8,20,9,Durable and recyclable; repairability depends on fasteners and modularity.,Widely recyclable if separated from mixed assemblies.,"Casings, frames, brackets, heat sinks",Repair value drops if permanently bonded to mixed materials.
copper,copper wire; copper winding,electronics; small appliances,metal,high,8,20,8,"Often recoverable in motors, cables, and wiring if assemblies can be opened.",High recycling value when separated.,"Motors, cables, wiring, electrical contacts",Difficult to recover if embedded in sealed assemblies.
steel,stainless steel; carbon steel,clothing/accessories; electronics; small appliances,metal,high,10,25,9,"Strong, durable, and suitable for replaceable fasteners or structural parts.",Widely recyclable if separated.,"Screws, blades, frames, hinges, appliance parts",Corrosion risk if wrong grade is used in wet conditions.
silicone,silicone rubber; silicone gasket,electronics; small appliances,elastomer,low,3,10,7,"Good for replaceable gaskets, seals, and grips.",Limited recycling pathways for consumer silicone parts.,"Gaskets, seals, buttons, protective covers",Should be replaceable because worn seals can make a whole product fail.
mixed plastic,generic plastic; unspecified plastic; plastic blend,electronics; small appliances; clothing/accessories,unspecified plastic,low,2,6,4,Repairability is uncertain without a specified material type.,Difficult to recycle when plastic type is unknown.,Avoid where possible for long-life products,Unspecified materials reduce traceability and recycling confidence.
